Hero Name,Role,Rank,Pick Rate,Win Rate,pick_norm,pick_z,win_z,hero_score
Thor,Vanguard,Bronze,0.07719999999999999,0.5291,1.0036716908350594,0.006237931966777286,0.6521686950146145,0.32920331349069587
Groot,Vanguard,Bronze,0.0725,0.4904,0.9425673262375882,-0.0975738774569893,-0.8472062189643376,-0.47239004821066344
Squirrel Girl,Duelist,Bronze,0.0723,0.4814,1.7351008513799213,1.0377308630382058,-0.38290061252989815,0.32741512525415384
Deadpool,Strategist,Bronze,0.0669,0.46950000000000003,0.7359105130073287,-0.3245448738084962,-0.9004369708343504,-0.6124909223214233
The Thing,Vanguard,Bronze,0.0587,0.4946,0.7631545110365026,-0.40238302002038917,-0.6844833600829017,-0.5434331900516454
Spider- Man,Duelist,Bronze,0.056100000000000004,0.5215,1.3463230672533,0.48889908751454075,0.6138631134608343,0.5513811004876875
Rocket Raccoon,Strategist,Bronze,0.055099999999999996,0.5434,0.6061086586951241,-0.48406097915437934,1.2496014224931369,0.3827702216693788
Phoenix,Duelist,Bronze,0.0529,0.4863,1.2695274555739673,0.38048787259628586,-0.2611015537430002,0.05969315942664283
Hela,Duelist,Bronze,0.0527,0.5219,1.2647277298440087,0.3737121716638947,0.6238058937699704,0.49875903271693256
Psylocke,Duelist,Bronze,0.0518,0.4999,1.2431289640591965,0.3432215174681356,0.07695297676757269,0.21008724711785415
Iron Man,Duelist,Bronze,0.051,0.5093,1.2239300611393633,0.3161187137385718,0.31060831403223244,0.3133635138854021
Winter Soldier,Duelist,Bronze,0.0507,0.4832,1.2167304725444261,0.3059551623399856,-0.33815810113879236,-0.01610146939940338
Star-Lord,Duelist,Bronze,0.04650000000000001,0.4768,1.1159362322153021,0.1636654427597763,-0.4972425860849447,-0.1667885716625842
Magik,Duelist,Bronze,0.0454,0.5507,1.0895377407005316,0.12639908763162608,1.3396860760276526,0.7330425818296393
Namor,Duelist,Bronze,0.0449,0.5021,1.0775384263756358,0.10945983530064875,0.1316382684678119,0.12054905188423032
Angela,Vanguard,Bronze,0.044199999999999996,0.5343,0.5746410457889848,-0.7226534959022227,0.8536350917249639,0.06549079791137058
Mantis,Strategist,Bronze,0.0387,0.5385,0.42570608151545014,-0.7057613289571321,1.107041366643276,0.20064001884307192
Captain America,Vanguard,Bronze,0.0359,0.4925,0.4667333380955782,-0.9059807338207893,-0.7658447895236196,-0.8359127616722044
Hawkeye,Duelist,Bronze,0.0358,0.5084000000000001,0.8591509056625335,-0.19883455712313858,0.2882370583366823,0.04470125060677185
Loki,Strategist,Bronze,0.0351,0.46619999999999995,0.3861055157930827,-0.7544272594016387,-0.9964468043658915,-0.8754370318837651
Ultron,Strategist,Bronze,0.0315,0.584,0.34650495007071525,-0.8030931898461454,2.430813313820552,0.8138600619872032
Hulk,Vanguard,Bronze,0.0294,0.4979,0.38222730195013926,-1.0495502574919562,-0.5566296852474862,-0.8030899713697213
Deadpool,Duelist,Bronze,0.023,0.4874,0.5519684589452031,-0.6324794167961579,-0.2337589078928806,-0.43311916234451925
Daredevil,Duelist,Bronze,0.021400000000000002,0.5476,0.5135706531055368,-0.6866850242552852,1.2626295286318605,0.28797225218828765
Blade,Duelist,Bronze,0.020099999999999996,0.4918,0.48237243586080786,-0.7307270803158264,-0.12438832449240077,-0.4275577024041136
Iron Fist,Duelist,Bronze,0.0196,0.5197999999999999,0.4703731215359122,-0.7476663326468037,0.5716062971470118,-0.08803001774989594
Adam Warlock,Strategist,Bronze,0.018799999999999997,0.49439999999999995,0.20680295432791893,-0.9747757778031552,-0.17599913600546963,-0.5753874569043124
