Hero Name,Role,Rank,Pick Rate,Win Rate,hero_score,tier
Invisible Woman,Strategist,Grandmaster,0.2371,0.49310000000000004,0.8812254897282888,A
Magneto,Vanguard,Grandmaster,0.1931,0.49689999999999995,0.9854098770212047,A
Doctor Strange,Vanguard,Grandmaster,0.1891,0.4915,0.8366270868304723,A
Emma Frost,Vanguard,Grandmaster,0.1176,0.4692,-0.38499574015332944,C
Rocket Raccoon,Strategist,Grandmaster,0.1125,0.5371,0.6791000836350004,A
Luna Snow,Strategist,Grandmaster,0.1106,0.4558,-0.5164089004516084,C
Winter Soldier,Duelist,Grandmaster,0.1063,0.4464,0.46835306598274873,A
Moon Knight,Duelist,Grandmaster,0.1008,0.5074000000000001,1.1333241767338795,S
Thor,Vanguard,Grandmaster,0.0915,0.529,0.4851926126375339,A
Namor,Duelist,Grandmaster,0.08259999999999999,0.4842,0.5366891553451911,A
Groot,Vanguard,Grandmaster,0.08199999999999999,0.5214,0.23305097851257822,B
The Punisher,Duelist,Grandmaster,0.0776,0.4569,0.11269551564108937,B
Spider- Man,Duelist,Grandmaster,0.07400000000000001,0.5228,0.8707507352145263,A
Jeff the Land Shark,Strategist,Grandmaster,0.0707,0.5065999999999999,-0.04711448569489157,B
Phoenix,Duelist,Grandmaster,0.069,0.49689999999999995,0.4641569610514091,A
Hela,Duelist,Grandmaster,0.0679,0.515,0.6704791879815026,A
Gambit,Strategist,Grandmaster,0.066,0.5132,0.017127309907594923,B
Loki,Strategist,Grandmaster,0.06570000000000001,0.5513,0.5693381472832598,A
The Thing,Vanguard,Grandmaster,0.0599,0.4836,-0.7432700766948698,C
Magik,Duelist,Grandmaster,0.0575,0.5722,1.2052197558424553,S
Hulk,Vanguard,Grandmaster,0.0557,0.5572,0.6361081154538473,A
Angela,Vanguard,Grandmaster,0.0446,0.5478999999999999,0.33336437895324794,A
Star-Lord,Duelist,Grandmaster,0.0425,0.5038,0.10102325444679602,B
Deadpool,Vanguard,Grandmaster,0.042199999999999994,0.5168,-0.2956027771179549,B
Psylocke,Duelist,Grandmaster,0.0415,0.4949,-0.02652942882330283,B
Venom,Vanguard,Grandmaster,0.0393,0.5038,-0.579462820594076,C
Iron Fist,Duelist,Grandmaster,0.0362,0.5152,0.13599058416680504,B
Hawkeye,Duelist,Grandmaster,0.036000000000000004,0.5262,0.2693159629512091,B
Daredevil,Duelist,Grandmaster,0.0338,0.5621,0.6782318741954698,A
Deadpool,Strategist,Grandmaster,0.0331,0.4201,-1.5595694861694511,D
Rogue,Vanguard,Grandmaster,0.033,0.5452,0.15295241253148278,B
Wolverine,Duelist,Grandmaster,0.0308,0.4863,-0.31466431708795595,C
Peni Parker,Vanguard,Grandmaster,0.0277,0.5699000000000001,0.5729029142987819,A
Mantis,Strategist,Grandmaster,0.026699999999999998,0.537,0.0977097180571816,B
